epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
113,1827.52,1.63307,0.85494,0.00508,0.74419,0.75387,0.75938,0.3555,1.88679,1.05725,0.00664,0.0012608,0.0012608,0.0012608
114,1844.96,1.64093,0.85233,0.00512,0.80382,0.75252,0.77575,0.37537,1.85362,0.97681,0.0065,0.0012542,0.0012542,0.0012542
115,1862.11,1.59926,0.88537,0.00522,0.76118,0.70814,0.72557,0.33776,1.91006,1.09308,0.00668,0.0012476,0.0012476,0.0012476
116,1878.8,1.59213,0.81987,0.00533,0.79655,0.74512,0.76625,0.3669,1.86413,1.01805,0.00647,0.001241,0.001241,0.001241
117,1897.96,1.63993,0.84597,0.00505,0.78063,0.73638,0.75479,0.3627,1.87801,1.04521,0.0066,0.0012344,0.0012344,0.0012344
118,1914.65,1.61758,0.81255,0.00492,0.75178,0.75971,0.74644,0.35103,1.88767,1.06806,0.00668,0.0012278,0.0012278,0.0012278
119,1931.53,1.64661,0.84399,0.00528,0.82411,0.71419,0.76713,0.37942,1.8617,1.04363,0.00655,0.0012212,0.0012212,0.0012212
120,1949.76,1.63839,0.86906,0.00511,0.81359,0.71911,0.76591,0.361,1.88087,1.04653,0.00666,0.0012146,0.0012146,0.0012146
121,1966.69,1.63107,0.85414,0.00546,0.78,0.71755,0.75458,0.36481,1.87446,1.00731,0.00654,0.001208,0.001208,0.001208
122,1984.86,1.58745,0.87436,0.00504,0.78653,0.73839,0.7551,0.36763,1.86583,0.99841,0.00655,0.0012014,0.0012014,0.0012014
123,2001.55,1.54731,0.81038,0.00498,0.77304,0.73504,0.75313,0.35998,1.88791,1.05235,0.00661,0.0011948,0.0011948,0.0011948
124,2018.6,1.5546,0.79629,0.00494,0.79401,0.73102,0.75977,0.3641,1.86082,1.02472,0.00652,0.0011882,0.0011882,0.0011882
125,2037.99,1.59661,0.81778,0.00501,0.8138,0.73504,0.76898,0.37889,1.84758,1.03278,0.00649,0.0011816,0.0011816,0.0011816
126,2056.3,1.5359,0.79687,0.00484,0.80795,0.71822,0.76139,0.36794,1.87039,1.02805,0.00652,0.001175,0.001175,0.001175
127,2072.92,1.60661,0.84589,0.00517,0.81263,0.72042,0.75904,0.36818,1.88143,1.07438,0.00657,0.0011684,0.0011684,0.0011684
128,2091.25,1.62029,0.84034,0.00488,0.78047,0.75552,0.77341,0.3751,1.87366,0.99067,0.00661,0.0011618,0.0011618,0.0011618
129,2108.04,1.5709,0.79023,0.00503,0.77527,0.74781,0.75375,0.35613,1.89002,1.05502,0.00666,0.0011552,0.0011552,0.0011552
130,2127.15,1.60725,0.82797,0.00502,0.79204,0.73302,0.76046,0.37315,1.86576,1.04347,0.00658,0.0011486,0.0011486,0.0011486
131,2146.15,1.58969,0.81307,0.00534,0.79533,0.73302,0.7644,0.37119,1.86952,1.01893,0.00653,0.001142,0.001142,0.001142
132,2163.21,1.58214,0.80073,0.00477,0.78586,0.73791,0.75948,0.36922,1.90272,1.01138,0.00671,0.0011354,0.0011354,0.0011354
133,2179.85,1.57927,0.80693,0.00516,0.79697,0.74707,0.76283,0.37053,1.85979,1.01741,0.00656,0.0011288,0.0011288,0.0011288
134,2196.55,1.59897,0.84469,0.00501,0.77214,0.73378,0.74729,0.35726,1.89781,1.03136,0.00668,0.0011222,0.0011222,0.0011222
135,2214.54,1.60251,0.82457,0.00503,0.79574,0.7362,0.76629,0.37334,1.84729,1.04053,0.00654,0.0011156,0.0011156,0.0011156
136,2231.16,1.57315,0.80298,0.00487,0.82414,0.72764,0.77829,0.38052,1.86059,0.9898,0.00655,0.001109,0.001109,0.001109
137,2248.46,1.61027,0.79104,0.00476,0.78714,0.75857,0.76646,0.36903,1.85827,0.98294,0.00661,0.0011024,0.0011024,0.0011024
138,2266.76,1.54281,0.75126,0.00486,0.7772,0.7507,0.75436,0.36214,1.86001,1.0146,0.00647,0.0010958,0.0010958,0.0010958
139,2284.06,1.57134,0.801,0.00489,0.79224,0.74109,0.76227,0.36633,1.86703,1.01175,0.00646,0.0010892,0.0010892,0.0010892
140,2301.69,1.54081,0.72648,0.00497,0.79057,0.75142,0.76758,0.36911,1.87608,1.0062,0.0065,0.0010826,0.0010826,0.0010826
141,2320.91,1.51716,0.76204,0.00498,0.80269,0.7332,0.76979,0.37152,1.85225,0.99629,0.00645,0.001076,0.001076,0.001076
142,2337.54,1.58084,0.81882,0.00515,0.78449,0.731,0.76026,0.36324,1.90706,1.04353,0.00672,0.0010694,0.0010694,0.0010694
143,2355.24,1.58555,0.82228,0.00483,0.77687,0.7384,0.76412,0.36964,1.83245,1.0085,0.00634,0.0010628,0.0010628,0.0010628
144,2372.69,1.58066,0.77651,0.00497,0.79644,0.73148,0.7597,0.36206,1.89537,1.03054,0.0066,0.0010562,0.0010562,0.0010562
145,2389.26,1.56118,0.78304,0.00482,0.81656,0.74512,0.77066,0.36943,1.87821,1.01586,0.00656,0.0010496,0.0010496,0.0010496
146,2408.15,1.59431,0.82519,0.00496,0.77472,0.72495,0.74216,0.35328,1.88275,1.07437,0.00659,0.001043,0.001043,0.001043
147,2424.99,1.56955,0.8315,0.00502,0.79254,0.7189,0.75602,0.36,1.88564,1.04594,0.00654,0.0010364,0.0010364,0.0010364
148,2443.49,1.56872,0.78872,0.00497,0.7969,0.73907,0.7638,0.36205,1.90034,1.02516,0.00659,0.0010298,0.0010298,0.0010298
149,2461.38,1.52903,0.74805,0.00483,0.80346,0.74229,0.75755,0.36447,1.88212,1.034,0.00659,0.0010232,0.0010232,0.0010232
150,2478.63,1.53778,0.76349,0.00479,0.81286,0.73638,0.75846,0.36377,1.87013,1.01506,0.00647,0.0010166,0.0010166,0.0010166
151,2495.75,1.54127,0.77851,0.00492,0.80837,0.75462,0.77586,0.37686,1.85131,0.96102,0.00648,0.00101,0.00101,0.00101
152,2514.76,1.576,0.78277,0.00512,0.79359,0.73504,0.76323,0.3728,1.8626,1.0193,0.00643,0.0010034,0.0010034,0.0010034
153,2531.61,1.55544,0.81115,0.00494,0.81303,0.74983,0.77717,0.36815,1.87782,0.98572,0.00655,0.0009968,0.0009968,0.0009968
154,2548.43,1.58788,0.81149,0.00483,0.78815,0.731,0.74828,0.36055,1.88931,1.00476,0.00656,0.0009902,0.0009902,0.0009902
155,2567.84,1.56317,0.80373,0.00488,0.78832,0.74882,0.7693,0.37104,1.85864,0.98217,0.00648,0.0009836,0.0009836,0.0009836
156,2584.61,1.55025,0.78833,0.00486,0.81022,0.73907,0.75322,0.36342,1.87636,1.0204,0.00659,0.000977,0.000977,0.000977
157,2601.61,1.57482,0.81875,0.00502,0.7969,0.73882,0.75313,0.36408,1.88412,1.00302,0.0066,0.0009704,0.0009704,0.0009704
158,2619.77,1.59704,0.84439,0.00495,0.79002,0.754,0.77389,0.37312,1.85288,0.99004,0.00646,0.0009638,0.0009638,0.0009638
159,2637.41,1.51759,0.79299,0.00473,0.80847,0.73638,0.766,0.37652,1.86509,1.00513,0.00648,0.0009572,0.0009572,0.0009572
160,2656.85,1.49048,0.72966,0.00458,0.81417,0.72697,0.76599,0.36885,1.87443,0.97545,0.00654,0.0009506,0.0009506,0.0009506
161,2673.37,1.5509,0.76233,0.00476,0.78412,0.74987,0.75548,0.36123,1.882,1.01249,0.00659,0.000944,0.000944,0.000944
162,2690.57,1.56361,0.7522,0.0048,0.82459,0.73235,0.76511,0.3715,1.88033,0.98977,0.00663,0.0009374,0.0009374,0.0009374
163,2708.93,1.55212,0.72633,0.00468,0.78491,0.73504,0.734,0.34919,1.8903,1.04905,0.00658,0.0009308,0.0009308,0.0009308
164,2725.97,1.49861,0.73874,0.00485,0.80422,0.73167,0.76748,0.37417,1.86622,1.00327,0.00651,0.0009242,0.0009242,0.0009242
165,2743.16,1.52549,0.76447,0.00476,0.78314,0.74243,0.75929,0.36838,1.86902,1.0216,0.00656,0.0009176,0.0009176,0.0009176
166,2762.8,1.51176,0.74279,0.00452,0.79988,0.74781,0.76961,0.37738,1.85754,0.97446,0.00645,0.000911,0.000911,0.000911
