Ep 7 | B 60 | Src:11.26 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.017 | Conf:0.70 | LR:9.88e-05
Ep 7 | B 70 | Src:10.25 | Psd:12.80 | PLs:2 | AvgC:0.746 | λ:0.017 | Conf:0.70 | LR:9.88e-05
Ep 7 | B 80 | Src:10.11 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.017 | Conf:0.70 | LR:9.88e-05
Ep 7 | B 90 | Src:12.84 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.017 | Conf:0.70 | LR:9.88e-05
Ep 8 | B 0 | Src:8.02 | Psd:13.85 | PLs:1 | AvgC:0.713 | λ:0.020 | Conf:0.70 | LR:9.84e-05
Ep 8 | B 10 | Src:16.04 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.020 | Conf:0.70 | LR:9.84e-05
Ep 8 | B 20 | Src:9.50 | Psd:55.80 | PLs:2 | AvgC:0.749 | λ:0.020 | Conf:0.70 | LR:9.84e-05
Ep 8 | B 30 | Src:12.51 | Psd:10.87 | PLs:1 | AvgC:0.730 | λ:0.020 | Conf:0.70 | LR:9.84e-05
Ep 8 | B 40 | Src:10.21 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.020 | Conf:0.70 | LR:9.84e-05
Ep 8 | B 50 | Src:9.58 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.020 | Conf:0.70 | LR:9.84e-05
Ep 8 | B 60 | Src:10.39 | Psd:16.53 | PLs:1 | AvgC:0.795 | λ:0.020 | Conf:0.70 | LR:9.84e-05
Ep 8 | B 70 | Src:9.28 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.020 | Conf:0.70 | LR:9.84e-05
Ep 8 | B 80 | Src:12.73 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.020 | Conf:0.70 | LR:9.84e-05
Ep 8 | B 90 | Src:8.89 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.020 | Conf:0.70 | LR:9.84e-05
Ep 9 | B 0 | Src:11.00 | Psd:41.34 | PLs:1 | AvgC:0.873 | λ:0.023 | Conf:0.70 | LR:9.80e-05
Ep 9 | B 10 | Src:14.34 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.023 | Conf:0.70 | LR:9.80e-05
Ep 9 | B 20 | Src:12.58 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.023 | Conf:0.70 | LR:9.80e-05
Ep 9 | B 30 | Src:10.32 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.023 | Conf:0.70 | LR:9.80e-05
Ep 9 | B 40 | Src:7.30 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.023 | Conf:0.70 | LR:9.80e-05
Ep 9 | B 50 | Src:10.63 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.023 | Conf:0.70 | LR:9.80e-05
