               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  64,            0.054881,            0.019827,                   0,             0.83319,             0.77156,             0.81285,             0.37896,            0.048594,            0.017643,                   0,             0.00811,             0.00811,             0.00811
                  65,            0.053562,            0.023221,                   0,             0.82199,             0.76233,             0.81307,             0.38762,            0.047663,            0.017727,                   0,             0.00808,             0.00808,             0.00808
                  66,            0.052812,            0.020299,                   0,             0.84051,             0.74865,             0.81793,              0.3976,            0.047373,            0.017614,                   0,             0.00805,             0.00805,             0.00805
                  67,            0.053907,             0.02211,                   0,             0.81731,             0.74933,              0.8083,             0.38835,            0.048239,            0.017482,                   0,             0.00802,             0.00802,             0.00802
                  68,            0.054656,            0.019684,                   0,             0.81312,             0.77401,              0.8139,             0.37831,            0.048444,            0.017566,                   0,             0.00799,             0.00799,             0.00799
                  69,            0.053406,              0.0207,                   0,             0.83248,             0.76351,              0.8119,               0.384,            0.048049,            0.017404,                   0,             0.00796,             0.00796,             0.00796
                  70,            0.053506,             0.01955,                   0,             0.81852,             0.75374,             0.80303,             0.38675,            0.048587,            0.017195,                   0,             0.00793,             0.00793,             0.00793
                  71,            0.052753,            0.023117,                   0,             0.82115,             0.76418,             0.80239,             0.39182,            0.047109,            0.017534,                   0,              0.0079,              0.0079,              0.0079
                  72,            0.053094,            0.020697,                   0,             0.80235,             0.78369,             0.81813,             0.40238,            0.047284,            0.017594,                   0,             0.00787,             0.00787,             0.00787
                  73,            0.051795,            0.019717,                   0,             0.82338,             0.75202,             0.79675,             0.39052,            0.048831,            0.017631,                   0,             0.00784,             0.00784,             0.00784
                  74,            0.052565,            0.017211,                   0,               0.823,              0.7473,             0.80863,             0.39832,            0.047574,            0.017303,                   0,             0.00781,             0.00781,             0.00781
                  75,            0.053723,            0.020502,                   0,             0.82944,              0.7783,             0.82242,             0.39759,            0.048109,            0.017329,                   0,             0.00778,             0.00778,             0.00778
                  76,            0.051953,            0.019298,                   0,             0.84494,             0.75809,             0.82266,             0.39952,              0.0478,            0.017289,                   0,             0.00775,             0.00775,             0.00775
                  77,            0.051451,            0.019352,                   0,             0.80983,             0.78053,              0.8195,              0.3919,            0.048201,             0.01765,                   0,             0.00772,             0.00772,             0.00772
                  78,            0.053919,            0.020811,                   0,             0.83399,             0.74813,              0.8131,             0.39817,            0.047017,            0.017469,                   0,             0.00769,             0.00769,             0.00769
                  79,            0.053306,            0.020703,                   0,             0.82465,             0.76078,             0.82416,             0.40057,            0.047207,            0.017454,                   0,             0.00766,             0.00766,             0.00766
                  80,            0.053218,             0.01953,                   0,             0.82259,             0.77022,             0.82505,             0.39818,             0.04715,            0.017524,                   0,             0.00763,             0.00763,             0.00763
                  81,            0.052467,            0.021709,                   0,             0.82416,             0.76617,             0.81388,              0.4031,            0.047257,            0.017506,                   0,              0.0076,              0.0076,              0.0076
                  82,             0.05159,            0.020064,                   0,             0.83291,             0.75539,             0.81197,             0.40313,            0.047243,            0.017364,                   0,             0.00757,             0.00757,             0.00757
                  83,            0.051239,            0.019769,                   0,               0.842,             0.77208,             0.82181,             0.40848,            0.046857,             0.01714,                   0,             0.00754,             0.00754,             0.00754
                  84,            0.053269,            0.021528,                   0,             0.79333,             0.76685,             0.79089,             0.38623,             0.04728,            0.017526,                   0,             0.00751,             0.00751,             0.00751
                  85,            0.051744,            0.020943,                   0,             0.83333,             0.76011,             0.81627,              0.3983,            0.046975,            0.017344,                   0,             0.00748,             0.00748,             0.00748
                  86,            0.051514,            0.021703,                   0,             0.83022,             0.75459,             0.82289,             0.40229,            0.047085,             0.01768,                   0,             0.00745,             0.00745,             0.00745
                  87,            0.051061,            0.020789,                   0,             0.83343,             0.77898,              0.8317,             0.40861,            0.047231,            0.017558,                   0,             0.00742,             0.00742,             0.00742
                  88,            0.051303,            0.020015,                   0,             0.82751,             0.76752,             0.81154,             0.38689,             0.04929,            0.017681,                   0,             0.00739,             0.00739,             0.00739
                  89,            0.051615,            0.019477,                   0,             0.82253,             0.79043,             0.82305,              0.3994,            0.046954,            0.017034,                   0,             0.00736,             0.00736,             0.00736
                  90,            0.050479,            0.020177,                   0,             0.84333,             0.78167,             0.83135,             0.41167,            0.045972,            0.017095,                   0,             0.00733,             0.00733,             0.00733
                  91,            0.051982,            0.020733,                   0,             0.82799,             0.76878,             0.82846,             0.40174,            0.046649,            0.016807,                   0,              0.0073,              0.0073,              0.0073
                  92,            0.051613,            0.020618,                   0,             0.85594,             0.76348,             0.82299,             0.40028,            0.046911,            0.017196,                   0,             0.00727,             0.00727,             0.00727
                  93,            0.050741,            0.020771,                   0,             0.84948,             0.75681,             0.82538,             0.41282,            0.047175,            0.017263,                   0,             0.00724,             0.00724,             0.00724
                  94,            0.051637,            0.020206,                   0,             0.83366,             0.75312,             0.82405,             0.41067,            0.046918,            0.017395,                   0,             0.00721,             0.00721,             0.00721
                  95,            0.050614,            0.020215,                   0,             0.84062,             0.76078,             0.82935,             0.40813,            0.046397,            0.017192,                   0,             0.00718,             0.00718,             0.00718
                  96,            0.051229,            0.018995,                   0,             0.81531,             0.77048,             0.82164,             0.40072,            0.047785,             0.01754,                   0,             0.00715,             0.00715,             0.00715
                  97,            0.051126,            0.020038,                   0,              0.8397,              0.7695,             0.81688,             0.40461,            0.046685,            0.017418,                   0,             0.00712,             0.00712,             0.00712
                  98,            0.050791,            0.020585,                   0,             0.82972,             0.77489,             0.82709,              0.4058,            0.047293,            0.017303,                   0,             0.00709,             0.00709,             0.00709
                  99,            0.049138,            0.019266,                   0,             0.83635,             0.78519,             0.83402,             0.40645,            0.046196,            0.017148,                   0,             0.00706,             0.00706,             0.00706
                 100,            0.049187,            0.018525,                   0,             0.84116,             0.77291,             0.82972,             0.40271,            0.047358,            0.017614,                   0,             0.00703,             0.00703,             0.00703
                 101,            0.051091,            0.019562,                   0,             0.83459,             0.77156,               0.831,             0.40657,            0.047339,            0.017448,                   0,               0.007,               0.007,               0.007
                 102,            0.050821,            0.019612,                   0,              0.8452,             0.76819,             0.82701,             0.40758,            0.046884,             0.01722,                   0,             0.00697,             0.00697,             0.00697
