               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 121,            0.050516,            0.019187,                   0,             0.84294,              0.7372,             0.80492,             0.38987,            0.045754,            0.017292,                   0,              0.0064,              0.0064,              0.0064
                 122,            0.050227,            0.017858,                   0,             0.83119,             0.75968,             0.81241,             0.40425,            0.045494,            0.017128,                   0,             0.00637,             0.00637,             0.00637
                 123,            0.049584,            0.021275,                   0,             0.84076,             0.75468,             0.81308,             0.40417,            0.045336,            0.017071,                   0,             0.00634,             0.00634,             0.00634
                 124,            0.049641,            0.018513,                   0,             0.84462,             0.73346,             0.80333,              0.3978,            0.045351,            0.017145,                   0,             0.00631,             0.00631,             0.00631
                 125,            0.047924,            0.017618,                   0,             0.84687,             0.74569,             0.80058,             0.40388,            0.045105,            0.017143,                   0,             0.00628,             0.00628,             0.00628
                 126,            0.049936,            0.020125,                   0,             0.84845,             0.74282,             0.80518,             0.39925,              0.0457,            0.017284,                   0,             0.00625,             0.00625,             0.00625
                 127,            0.049429,            0.019499,                   0,             0.85045,              0.7422,             0.80557,             0.39828,            0.045506,            0.017292,                   0,             0.00622,             0.00622,             0.00622
                 128,            0.049676,            0.018919,                   0,              0.8565,             0.74142,             0.80058,             0.40093,            0.045394,            0.017391,                   0,             0.00619,             0.00619,             0.00619
                 129,            0.049705,            0.019122,                   0,             0.84766,             0.73221,             0.79141,             0.39463,            0.045424,            0.017639,                   0,             0.00616,             0.00616,             0.00616
                 130,            0.049518,            0.020657,                   0,             0.84501,             0.74782,             0.80953,             0.39652,             0.04545,            0.017282,                   0,             0.00613,             0.00613,             0.00613
                 131,            0.049671,            0.020142,                   0,             0.83648,             0.75156,             0.79911,             0.40234,            0.045618,            0.017465,                   0,              0.0061,              0.0061,              0.0061
                 132,            0.047099,            0.017181,                   0,             0.85274,             0.74095,             0.79667,             0.39752,             0.04534,            0.017825,                   0,             0.00607,             0.00607,             0.00607
                 133,            0.049395,            0.017938,                   0,             0.84435,             0.74832,             0.79324,             0.39283,            0.045957,            0.017757,                   0,             0.00604,             0.00604,             0.00604
                 134,             0.05036,             0.01923,                   0,             0.84855,             0.76245,             0.79737,             0.39521,            0.045236,            0.017552,                   0,             0.00601,             0.00601,             0.00601
                 135,            0.049661,            0.020511,                   0,             0.83418,             0.76404,             0.80064,             0.39981,            0.045524,            0.017443,                   0,             0.00598,             0.00598,             0.00598
                 136,            0.051226,            0.019669,                   0,             0.84674,             0.72659,             0.79296,              0.3964,            0.046082,            0.017891,                   0,             0.00595,             0.00595,             0.00595
                 137,            0.050273,            0.019103,                   0,             0.85359,             0.73159,             0.79385,             0.38723,            0.046321,            0.017478,                   0,             0.00592,             0.00592,             0.00592
                 138,            0.050358,            0.019115,                   0,             0.84433,             0.74824,             0.80649,              0.3985,            0.046046,            0.017139,                   0,             0.00589,             0.00589,             0.00589
                 139,             0.04985,             0.02032,                   0,             0.84863,             0.72909,             0.79062,             0.39651,              0.0457,            0.017853,                   0,             0.00586,             0.00586,             0.00586
                 140,              0.0487,            0.018307,                   0,             0.83792,              0.7397,             0.80231,             0.39325,            0.046014,            0.017745,                   0,             0.00583,             0.00583,             0.00583
                 141,             0.05037,            0.018897,                   0,             0.84611,             0.74032,             0.79984,             0.39788,            0.045633,            0.017498,                   0,              0.0058,              0.0058,              0.0058
                 142,            0.050112,            0.020835,                   0,             0.85177,             0.73533,             0.80117,             0.39618,            0.045805,            0.017476,                   0,             0.00577,             0.00577,             0.00577
                 143,            0.049757,            0.019803,                   0,              0.8512,             0.73221,             0.79879,             0.39443,            0.045527,            0.017713,                   0,             0.00574,             0.00574,             0.00574
                 144,            0.048329,            0.019774,                   0,             0.83961,             0.74829,             0.79912,             0.40468,            0.044793,            0.017641,                   0,             0.00571,             0.00571,             0.00571
                 145,            0.050265,            0.019114,                   0,             0.83751,             0.74407,             0.80382,             0.40196,            0.045824,            0.017514,                   0,             0.00568,             0.00568,             0.00568
                 146,            0.049946,            0.019372,                   0,             0.83969,             0.73894,             0.80568,             0.40249,            0.044968,            0.017183,                   0,             0.00565,             0.00565,             0.00565
                 147,            0.048974,            0.018685,                   0,             0.85709,             0.74345,              0.8149,             0.40311,            0.045842,            0.017149,                   0,             0.00562,             0.00562,             0.00562
                 148,            0.048962,            0.019261,                   0,             0.85804,             0.75531,              0.8185,             0.40698,            0.045524,            0.017058,                   0,             0.00559,             0.00559,             0.00559
                 149,            0.048045,             0.01928,                   0,             0.84183,             0.75343,             0.81351,             0.40251,            0.046275,             0.01704,                   0,             0.00556,             0.00556,             0.00556
                 150,            0.047514,            0.018118,                   0,             0.85586,             0.74532,             0.80964,             0.39746,            0.046389,            0.017288,                   0,             0.00553,             0.00553,             0.00553
                 151,               0.048,            0.016843,                   0,             0.85187,             0.74032,             0.81098,             0.39786,            0.046454,            0.017362,                   0,              0.0055,              0.0055,              0.0055
                 152,            0.049202,            0.019828,                   0,             0.84309,             0.74459,             0.80135,              0.4009,            0.045271,             0.01726,                   0,             0.00547,             0.00547,             0.00547
