Ep 18 | B 40 | Src:18.81 | Psd:35.70 | PLs:21 | λ:0.900 | Conf:0.63 | LR:1.85e-03
Ep 18 | B 50 | Src:16.09 | Psd:35.46 | PLs:21 | λ:0.900 | Conf:0.63 | LR:1.85e-03
Ep 18 | B 60 | Src:14.73 | Psd:32.03 | PLs:25 | λ:0.900 | Conf:0.63 | LR:1.85e-03
Ep 18 | B 70 | Src:13.59 | Psd:42.89 | PLs:21 | λ:0.900 | Conf:0.63 | LR:1.85e-03
Ep 18 | B 80 | Src:16.80 | Psd:28.76 | PLs:16 | λ:0.900 | Conf:0.63 | LR:1.85e-03
Ep 18 | B 90 | Src:15.45 | Psd:29.65 | PLs:18 | λ:0.900 | Conf:0.63 | LR:1.85e-03
Ep 19 | B 0 | Src:12.65 | Psd:24.19 | PLs:15 | λ:0.950 | Conf:0.62 | LR:1.83e-03
Ep 19 | B 10 | Src:16.77 | Psd:24.04 | PLs:15 | λ:0.950 | Conf:0.62 | LR:1.83e-03
Ep 19 | B 20 | Src:17.73 | Psd:22.43 | PLs:13 | λ:0.950 | Conf:0.62 | LR:1.83e-03
Ep 19 | B 30 | Src:11.60 | Psd:18.07 | PLs:9 | λ:0.950 | Conf:0.62 | LR:1.83e-03
Ep 19 | B 40 | Src:12.48 | Psd:21.52 | PLs:13 | λ:0.950 | Conf:0.62 | LR:1.83e-03
Ep 19 | B 50 | Src:13.32 | Psd:26.73 | PLs:16 | λ:0.950 | Conf:0.62 | LR:1.83e-03
Ep 19 | B 60 | Src:12.52 | Psd:27.87 | PLs:20 | λ:0.950 | Conf:0.62 | LR:1.83e-03
Ep 19 | B 70 | Src:9.92 | Psd:25.81 | PLs:16 | λ:0.950 | Conf:0.62 | LR:1.83e-03
Ep 19 | B 80 | Src:15.18 | Psd:26.53 | PLs:16 | λ:0.950 | Conf:0.62 | LR:1.83e-03
Ep 19 | B 90 | Src:12.28 | Psd:27.04 | PLs:16 | λ:0.950 | Conf:0.62 | LR:1.83e-03
Ep 20 | B 0 | Src:11.58 | Psd:27.65 | PLs:16 | λ:1.000 | Conf:0.62 | LR:1.81e-03
Ep 20 | B 10 | Src:15.42 | Psd:27.07 | PLs:15 | λ:1.000 | Conf:0.62 | LR:1.81e-03
Ep 20 | B 20 | Src:12.99 | Psd:31.52 | PLs:16 | λ:1.000 | Conf:0.62 | LR:1.81e-03
Ep 20 | B 30 | Src:12.23 | Psd:41.54 | PLs:18 | λ:1.000 | Conf:0.62 | LR:1.81e-03
Ep 20 | B 40 | Src:12.34 | Psd:39.51 | PLs:20 | λ:1.000 | Conf:0.62 | LR:1.81e-03
Ep 20 | B 50 | Src:22.23 | Psd:38.13 | PLs:16 | λ:1.000 | Conf:0.62 | LR:1.81e-03
Ep 20 | B 60 | Src:17.28 | Psd:38.63 | PLs:13 | λ:1.000 | Conf:0.62 | LR:1.81e-03
Ep 20 | B 70 | Src:13.86 | Psd:40.63 | PLs:18 | λ:1.000 | Conf:0.62 | LR:1.81e-03
Ep 20 | B 80 | Src:14.41 | Psd:35.04 | PLs:20 | λ:1.000 | Conf:0.62 | LR:1.81e-03
Ep 20 | B 90 | Src:14.61 | Psd:40.28 | PLs:19 | λ:1.000 | Conf:0.62 | LR:1.81e-03
Ep 21 | B 0 | Src:17.18 | Psd:40.84 | PLs:21 | λ:1.000 | Conf:0.62 | LR:1.79e-03
Ep 21 | B 10 | Src:17.40 | Psd:38.72 | PLs:22 | λ:1.000 | Conf:0.62 | LR:1.79e-03
Ep 21 | B 20 | Src:19.36 | Psd:38.44 | PLs:21 | λ:1.000 | Conf:0.62 | LR:1.79e-03
Ep 21 | B 30 | Src:19.04 | Psd:36.69 | PLs:23 | λ:1.000 | Conf:0.62 | LR:1.79e-03
Ep 21 | B 40 | Src:11.33 | Psd:37.47 | PLs:19 | λ:1.000 | Conf:0.62 | LR:1.79e-03
Ep 21 | B 50 | Src:13.39 | Psd:37.75 | PLs:21 | λ:1.000 | Conf:0.62 | LR:1.79e-03
