Ep 8 | B 40 | Src:13.83 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.000 | Conf:0.49 | LR:9.84e-05
Ep 8 | B 50 | Src:10.53 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.000 | Conf:0.49 | LR:9.84e-05
Ep 8 | B 60 | Src:11.69 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.000 | Conf:0.49 | LR:9.84e-05
Ep 8 | B 70 | Src:9.87 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.000 | Conf:0.49 | LR:9.84e-05
Ep 8 | B 80 | Src:13.20 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.000 | Conf:0.49 | LR:9.84e-05
Ep 8 | B 90 | Src:10.54 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.000 | Conf:0.49 | LR:9.84e-05
Ep 9 | B 0 | Src:8.59 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.000 | Conf:0.49 | LR:9.80e-05
Ep 9 | B 10 | Src:11.36 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.000 | Conf:0.49 | LR:9.80e-05
Ep 9 | B 20 | Src:12.02 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.000 | Conf:0.49 | LR:9.80e-05
Ep 9 | B 30 | Src:14.12 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.000 | Conf:0.49 | LR:9.80e-05
Ep 9 | B 40 | Src:9.58 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.000 | Conf:0.49 | LR:9.80e-05
Ep 9 | B 50 | Src:11.04 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.000 | Conf:0.49 | LR:9.80e-05
Ep 9 | B 60 | Src:11.79 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.000 | Conf:0.49 | LR:9.80e-05
Ep 9 | B 70 | Src:10.82 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.000 | Conf:0.49 | LR:9.80e-05
Ep 9 | B 80 | Src:10.65 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.000 | Conf:0.49 | LR:9.80e-05
Ep 9 | B 90 | Src:12.17 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.000 | Conf:0.49 | LR:9.80e-05
Ep 10 | B 0 | Src:9.53 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.000 | Conf:0.48 | LR:9.76e-05
Ep 10 | B 10 | Src:15.75 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.000 | Conf:0.48 | LR:9.76e-05
Ep 10 | B 20 | Src:15.03 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.000 | Conf:0.48 | LR:9.76e-05
Ep 10 | B 30 | Src:10.90 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.000 | Conf:0.48 | LR:9.76e-05
Ep 10 | B 40 | Src:12.25 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.000 | Conf:0.48 | LR:9.76e-05
Ep 10 | B 50 | Src:11.88 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.000 | Conf:0.48 | LR:9.76e-05
Ep 10 | B 60 | Src:11.85 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.000 | Conf:0.48 | LR:9.76e-05
Ep 10 | B 70 | Src:8.42 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.000 | Conf:0.48 | LR:9.76e-05
Ep 10 | B 80 | Src:13.28 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.000 | Conf:0.48 | LR:9.76e-05
Ep 10 | B 90 | Src:9.70 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.000 | Conf:0.48 | LR:9.76e-05
Ep 11 | B 0 | Src:17.77 | Psd:9.72 | PLs:28 | AvgC:0.676 | λ:0.011 | Conf:0.48 | LR:9.71e-05
Ep 11 | B 10 | Src:10.97 | Psd:10.24 | PLs:11 | AvgC:0.760 | λ:0.011 | Conf:0.48 | LR:9.71e-05
Ep 11 | B 20 | Src:9.97 | Psd:18.83 | PLs:9 | AvgC:0.764 | λ:0.011 | Conf:0.48 | LR:9.71e-05
Ep 11 | B 30 | Src:11.74 | Psd:8.51 | PLs:7 | AvgC:0.716 | λ:0.011 | Conf:0.48 | LR:9.71e-05
Ep 11 | B 40 | Src:9.17 | Psd:7.62 | PLs:12 | AvgC:0.782 | λ:0.011 | Conf:0.48 | LR:9.71e-05
Ep 11 | B 50 | Src:12.76 | Psd:6.83 | PLs:9 | AvgC:0.714 | λ:0.011 | Conf:0.48 | LR:9.71e-05
Ep 11 | B 60 | Src:10.43 | Psd:6.03 | PLs:22 | AvgC:0.743 | λ:0.011 | Conf:0.48 | LR:9.71e-05
