Ep 17 | B 60 | Src:9.2302 | Psd:36.9183 | PLs:28 | LR:4.91e-05
Ep 17 | B 70 | Src:11.4328 | Psd:35.1913 | PLs:27 | LR:4.91e-05
Ep 17 | B 80 | Src:22.4315 | Psd:37.3067 | PLs:26 | LR:4.91e-05
Ep 18 | B 0 | Src:10.6235 | Psd:36.3981 | PLs:26 | LR:4.90e-05
Ep 18 | B 10 | Src:12.3542 | Psd:41.3779 | PLs:30 | LR:4.90e-05
Ep 18 | B 20 | Src:10.3320 | Psd:36.4666 | PLs:25 | LR:4.90e-05
Ep 18 | B 30 | Src:12.6779 | Psd:34.9206 | PLs:24 | LR:4.89e-05
Ep 18 | B 40 | Src:10.6459 | Psd:24.9545 | PLs:23 | LR:4.89e-05
Ep 18 | B 50 | Src:14.3679 | Psd:34.4439 | PLs:27 | LR:4.89e-05
Ep 18 | B 60 | Src:13.6419 | Psd:37.4408 | PLs:27 | LR:4.89e-05
Ep 18 | B 70 | Src:15.3659 | Psd:37.2305 | PLs:28 | LR:4.88e-05
Ep 18 | B 80 | Src:10.0866 | Psd:30.8987 | PLs:24 | LR:4.88e-05
Ep 19 | B 0 | Src:9.8623 | Psd:34.1363 | PLs:29 | LR:4.88e-05
Ep 19 | B 10 | Src:11.1645 | Psd:34.9505 | PLs:27 | LR:4.87e-05
Ep 19 | B 20 | Src:8.6404 | Psd:30.9037 | PLs:26 | LR:4.87e-05
Ep 19 | B 30 | Src:16.4015 | Psd:31.1690 | PLs:25 | LR:4.87e-05
Ep 19 | B 40 | Src:13.2431 | Psd:36.2102 | PLs:27 | LR:4.86e-05
Ep 19 | B 50 | Src:12.3111 | Psd:31.5161 | PLs:25 | LR:4.86e-05
Ep 19 | B 60 | Src:10.2163 | Psd:35.7370 | PLs:26 | LR:4.86e-05
Ep 19 | B 70 | Src:13.4390 | Psd:40.7504 | PLs:26 | LR:4.86e-05
Ep 19 | B 80 | Src:14.6754 | Psd:32.8991 | PLs:27 | LR:4.85e-05
Ep 20 | B 0 | Src:11.5060 | Psd:32.2886 | PLs:26 | LR:4.85e-05
Ep 20 | B 10 | Src:18.7275 | Psd:41.5228 | PLs:28 | LR:4.85e-05
Ep 20 | B 20 | Src:9.4498 | Psd:32.7222 | PLs:26 | LR:4.84e-05
Ep 20 | B 30 | Src:8.1207 | Psd:35.0073 | PLs:27 | LR:4.84e-05
Ep 20 | B 40 | Src:11.4747 | Psd:27.2716 | PLs:25 | LR:4.83e-05
Ep 20 | B 50 | Src:6.9284 | Psd:32.5887 | PLs:25 | LR:4.83e-05
Ep 20 | B 60 | Src:14.6762 | Psd:31.9600 | PLs:25 | LR:4.83e-05
Ep 20 | B 70 | Src:16.1936 | Psd:33.2921 | PLs:28 | LR:4.82e-05
Ep 20 | B 80 | Src:10.7205 | Psd:29.6108 | PLs:26 | LR:4.82e-05
Ep 21 | B 0 | Src:11.3302 | Psd:27.4745 | PLs:26 | LR:4.82e-05
Ep 21 | B 10 | Src:13.2606 | Psd:28.8880 | PLs:26 | LR:4.81e-05
Ep 21 | B 20 | Src:11.5581 | Psd:39.1290 | PLs:26 | LR:4.81e-05
Ep 21 | B 30 | Src:7.7616 | Psd:35.2649 | PLs:27 | LR:4.81e-05
Ep 21 | B 40 | Src:10.6056 | Psd:31.6729 | PLs:27 | LR:4.80e-05
Ep 21 | B 50 | Src:8.3303 | Psd:30.3548 | PLs:27 | LR:4.80e-05
Ep 21 | B 60 | Src:25.3745 | Psd:43.5962 | PLs:28 | LR:4.79e-05
Ep 21 | B 70 | Src:13.8405 | Psd:24.7002 | PLs:23 | LR:4.79e-05
Ep 21 | B 80 | Src:10.8424 | Psd:39.8063 | PLs:27 | LR:4.79e-05
Ep 22 | B 0 | Src:9.3321 | Psd:42.8064 | PLs:28 | LR:4.78e-05
Ep 22 | B 10 | Src:11.5303 | Psd:34.8175 | PLs:28 | LR:4.78e-05
Ep 22 | B 20 | Src:14.2602 | Psd:30.1159 | PLs:26 | LR:4.78e-05
Ep 22 | B 30 | Src:9.4903 | Psd:27.8431 | PLs:25 | LR:4.77e-05
Ep 22 | B 40 | Src:11.0284 | Psd:43.4505 | PLs:28 | LR:4.77e-05
Ep 22 | B 50 | Src:13.6191 | Psd:39.9389 | PLs:28 | LR:4.76e-05
Ep 22 | B 60 | Src:7.7013 | Psd:28.6239 | PLs:24 | LR:4.76e-05
Ep 22 | B 70 | Src:15.2907 | Psd:36.9518 | PLs:29 | LR:4.75e-05
Ep 22 | B 80 | Src:13.9061 | Psd:30.6545 | PLs:26 | LR:4.75e-05
Ep 23 | B 0 | Src:15.0569 | Psd:34.9445 | PLs:28 | LR:4.75e-05
Ep 23 | B 10 | Src:12.2319 | Psd:31.5505 | PLs:28 | LR:4.74e-05
Ep 23 | B 20 | Src:12.8053 | Psd:41.1078 | PLs:26 | LR:4.74e-05
Ep 23 | B 30 | Src:6.9055 | Psd:21.2169 | PLs:23 | LR:4.73e-05
Ep 23 | B 40 | Src:14.2582 | Psd:33.7308 | PLs:26 | LR:4.73e-05
Ep 23 | B 50 | Src:12.0863 | Psd:31.5721 | PLs:26 | LR:4.72e-05
Ep 23 | B 60 | Src:10.9558 | Psd:29.2669 | PLs:24 | LR:4.72e-05
Ep 23 | B 70 | Src:10.8059 | Psd:39.9574 | PLs:29 | LR:4.72e-05
Ep 23 | B 80 | Src:12.6747 | Psd:36.5425 | PLs:27 | LR:4.71e-05
Ep 24 | B 0 | Src:10.9409 | Psd:33.4827 | PLs:26 | LR:4.71e-05
Ep 24 | B 10 | Src:18.0767 | Psd:26.4788 | PLs:25 | LR:4.70e-05
Ep 24 | B 20 | Src:11.5920 | Psd:26.6777 | PLs:26 | LR:4.70e-05
Ep 24 | B 30 | Src:11.3786 | Psd:32.8514 | PLs:26 | LR:4.69e-05
Ep 24 | B 40 | Src:10.7966 | Psd:33.2053 | PLs:27 | LR:4.69e-05
Ep 24 | B 50 | Src:9.7389 | Psd:27.2316 | PLs:25 | LR:4.68e-05
Ep 24 | B 60 | Src:12.4607 | Psd:29.1386 | PLs:26 | LR:4.68e-05
Ep 24 | B 70 | Src:7.5452 | Psd:27.6193 | PLs:24 | LR:4.67e-05
Ep 24 | B 80 | Src:12.9880 | Psd:34.8529 | PLs:28 | LR:4.67e-05
Ep 25 | B 0 | Src:13.3001 | Psd:28.3345 | PLs:25 | LR:4.66e-05
Ep 25 | B 10 | Src:10.7665 | Psd:35.6165 | PLs:27 | LR:4.66e-05
Ep 25 | B 20 | Src:7.5897 | Psd:25.8753 | PLs:25 | LR:4.65e-05
Ep 25 | B 30 | Src:11.2720 | Psd:38.3147 | PLs:27 | LR:4.65e-05
Ep 25 | B 40 | Src:9.5029 | Psd:29.5733 | PLs:23 | LR:4.64e-05
Ep 25 | B 50 | Src:12.0044 | Psd:28.9667 | PLs:25 | LR:4.64e-05
Ep 25 | B 60 | Src:9.3185 | Psd:23.5645 | PLs:26 | LR:4.63e-05
Ep 25 | B 70 | Src:12.5767 | Psd:30.1202 | PLs:26 | LR:4.63e-05
Ep 25 | B 80 | Src:11.8768 | Psd:33.5199 | PLs:26 | LR:4.62e-05
Ep 26 | B 0 | Src:10.1596 | Psd:29.3880 | PLs:26 | LR:4.62e-05
Ep 26 | B 10 | Src:11.6436 | Psd:23.2782 | PLs:25 | LR:4.61e-05
Ep 26 | B 20 | Src:9.3855 | Psd:27.6159 | PLs:25 | LR:4.61e-05
Ep 26 | B 30 | Src:9.3477 | Psd:26.8234 | PLs:24 | LR:4.60e-05
Ep 26 | B 40 | Src:9.7425 | Psd:35.1907 | PLs:25 | LR:4.60e-05
Ep 26 | B 50 | Src:11.1573 | Psd:25.5175 | PLs:25 | LR:4.59e-05
Ep 26 | B 60 | Src:9.8394 | Psd:30.3312 | PLs:27 | LR:4.59e-05
Ep 26 | B 70 | Src:10.4171 | Psd:25.1497 | PLs:26 | LR:4.58e-05
Ep 26 | B 80 | Src:11.9620 | Psd:29.4161 | PLs:24 | LR:4.58e-05
Ep 27 | B 0 | Src:12.1648 | Psd:31.8384 | PLs:26 | LR:4.57e-05
Ep 27 | B 10 | Src:9.6480 | Psd:26.8819 | PLs:25 | LR:4.57e-05
Ep 27 | B 20 | Src:10.7806 | Psd:32.7602 | PLs:26 | LR:4.56e-05
Ep 27 | B 30 | Src:13.1406 | Psd:41.0523 | PLs:28 | LR:4.56e-05
Ep 27 | B 40 | Src:11.7392 | Psd:37.3535 | PLs:26 | LR:4.55e-05
Ep 27 | B 50 | Src:14.8033 | Psd:25.0015 | PLs:26 | LR:4.54e-05
Ep 27 | B 60 | Src:13.3709 | Psd:24.3417 | PLs:25 | LR:4.54e-05
Ep 27 | B 70 | Src:11.2078 | Psd:30.6076 | PLs:25 | LR:4.53e-05
Ep 27 | B 80 | Src:12.5332 | Psd:29.0889 | PLs:26 | LR:4.53e-05
Ep 28 | B 0 | Src:12.1100 | Psd:28.5105 | PLs:27 | LR:4.52e-05
Ep 28 | B 10 | Src:14.2256 | Psd:30.3786 | PLs:26 | LR:4.52e-05
Ep 28 | B 20 | Src:12.0071 | Psd:31.2727 | PLs:26 | LR:4.51e-05
Ep 28 | B 30 | Src:10.8181 | Psd:25.4016 | PLs:26 | LR:4.50e-05
Ep 28 | B 40 | Src:11.6224 | Psd:25.3899 | PLs:26 | LR:4.50e-05
Ep 28 | B 50 | Src:8.8051 | Psd:33.6376 | PLs:26 | LR:4.49e-05
Ep 28 | B 60 | Src:13.0440 | Psd:28.7351 | PLs:26 | LR:4.49e-05
Ep 28 | B 70 | Src:6.7543 | Psd:35.8804 | PLs:26 | LR:4.48e-05
Ep 28 | B 80 | Src:10.2257 | Psd:35.0312 | PLs:27 | LR:4.47e-05
Ep 29 | B 0 | Src:14.5005 | Psd:27.8175 | PLs:26 | LR:4.47e-05
Ep 29 | B 10 | Src:9.3697 | Psd:26.0752 | PLs:25 | LR:4.46e-05
Ep 29 | B 20 | Src:8.2118 | Psd:25.2503 | PLs:24 | LR:4.46e-05
Ep 29 | B 30 | Src:13.5025 | Psd:29.8143 | PLs:27 | LR:4.45e-05
Ep 29 | B 40 | Src:12.4118 | Psd:22.5665 | PLs:24 | LR:4.44e-05
Ep 29 | B 50 | Src:14.1556 | Psd:29.5337 | PLs:26 | LR:4.44e-05
Ep 29 | B 60 | Src:11.9651 | Psd:23.5711 | PLs:25 | LR:4.43e-05
Ep 29 | B 70 | Src:8.7281 | Psd:23.1245 | PLs:24 | LR:4.43e-05
Ep 29 | B 80 | Src:11.6439 | Psd:23.0249 | PLs:26 | LR:4.42e-05
Ep 30 | B 0 | Src:13.0515 | Psd:20.9899 | PLs:24 | LR:4.41e-05
Ep 30 | B 10 | Src:10.4042 | Psd:24.6616 | PLs:24 | LR:4.41e-05
Ep 30 | B 20 | Src:7.6137 | Psd:33.2361 | PLs:25 | LR:4.40e-05
Ep 30 | B 30 | Src:12.2761 | Psd:29.3503 | PLs:25 | LR:4.40e-05
Ep 30 | B 40 | Src:11.4020 | Psd:27.8907 | PLs:25 | LR:4.39e-05
Ep 30 | B 50 | Src:12.5922 | Psd:26.5598 | PLs:24 | LR:4.38e-05
