               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  82,              0.0513,            0.019362,                   0,             0.79785,             0.74614,             0.79168,             0.36433,            0.046809,            0.018955,                   0,             0.00757,             0.00757,             0.00757
                  83,            0.049954,            0.020477,                   0,             0.83094,             0.73757,             0.79948,             0.36623,            0.046137,            0.019047,                   0,             0.00754,             0.00754,             0.00754
                  84,            0.051429,            0.021621,                   0,             0.83988,              0.7498,             0.80636,             0.37107,            0.045919,            0.018907,                   0,             0.00751,             0.00751,             0.00751
                  85,            0.051871,            0.019344,                   0,             0.83484,             0.71356,             0.78048,               0.368,            0.045945,            0.019192,                   0,             0.00748,             0.00748,             0.00748
                  86,            0.052459,            0.020518,                   0,              0.8151,             0.72183,              0.7889,             0.37167,            0.045644,            0.018812,                   0,             0.00745,             0.00745,             0.00745
                  87,            0.051105,            0.018288,                   0,             0.83525,             0.75919,             0.80909,             0.38405,            0.045363,            0.018588,                   0,             0.00742,             0.00742,             0.00742
                  88,            0.051671,            0.020815,                   0,             0.82585,             0.74021,             0.80004,             0.38028,            0.045306,            0.018697,                   0,             0.00739,             0.00739,             0.00739
                  89,            0.050007,            0.019685,                   0,              0.8114,             0.74021,             0.79276,             0.37169,            0.045728,            0.019182,                   0,             0.00736,             0.00736,             0.00736
                  90,            0.049304,            0.019431,                   0,             0.83463,             0.76334,              0.8094,             0.37408,            0.045267,             0.01862,                   0,             0.00733,             0.00733,             0.00733
                  91,            0.050606,            0.020886,                   0,              0.8457,             0.72492,             0.79542,             0.37698,            0.045404,             0.01881,                   0,              0.0073,              0.0073,              0.0073
                  92,            0.049972,            0.018491,                   0,             0.81224,             0.74318,             0.79647,             0.36607,            0.045952,            0.018858,                   0,             0.00727,             0.00727,             0.00727
                  93,            0.050897,            0.018858,                   0,             0.82967,             0.74021,             0.79318,             0.37016,            0.045593,            0.019112,                   0,             0.00724,             0.00724,             0.00724
                  94,            0.051761,            0.020259,                   0,             0.82362,             0.73013,              0.7902,             0.37018,            0.046291,            0.018923,                   0,             0.00721,             0.00721,             0.00721
                  95,            0.050756,            0.019336,                   0,             0.84075,             0.73902,             0.81207,             0.39088,            0.045409,            0.018502,                   0,             0.00718,             0.00718,             0.00718
                  96,            0.050779,            0.018966,                   0,             0.83679,             0.75111,             0.80376,             0.38258,            0.045644,             0.01881,                   0,             0.00715,             0.00715,             0.00715
                  97,            0.049658,            0.018651,                   0,             0.83152,             0.74021,             0.79104,             0.36883,            0.045724,            0.018909,                   0,             0.00712,             0.00712,             0.00712
                  98,            0.051306,            0.017182,                   0,             0.82261,             0.74261,             0.79925,             0.37321,            0.045701,             0.01904,                   0,             0.00709,             0.00709,             0.00709
                  99,            0.051383,            0.020377,                   0,             0.82453,             0.74137,              0.7957,              0.3775,            0.045704,            0.018881,                   0,             0.00706,             0.00706,             0.00706
                 100,            0.051749,            0.021363,                   0,             0.83456,             0.76097,             0.80941,             0.37313,            0.045207,             0.01863,                   0,             0.00703,             0.00703,             0.00703
                 101,            0.050065,            0.018706,                   0,             0.84813,             0.76185,             0.82017,             0.38937,            0.044879,             0.01856,                   0,               0.007,               0.007,               0.007
                 102,            0.050251,            0.018009,                   0,             0.82158,             0.75208,             0.80693,             0.38319,            0.045407,            0.018872,                   0,             0.00697,             0.00697,             0.00697
                 103,            0.050619,            0.018799,                   0,             0.84338,             0.74739,             0.81515,             0.37745,            0.045375,            0.018738,                   0,             0.00694,             0.00694,             0.00694
