Ep 13 | B 10 | Src:12.61 | Psd:59.44 | PLs:32 | λ:0.033 | Conf:0.70 | LR:9.59e-05
Ep 13 | B 20 | Src:11.33 | Psd:59.71 | PLs:31 | λ:0.033 | Conf:0.70 | LR:9.59e-05
Ep 13 | B 30 | Src:12.20 | Psd:61.43 | PLs:32 | λ:0.033 | Conf:0.70 | LR:9.59e-05
Ep 13 | B 40 | Src:12.02 | Psd:69.40 | PLs:32 | λ:0.033 | Conf:0.70 | LR:9.59e-05
Ep 13 | B 50 | Src:9.66 | Psd:71.07 | PLs:30 | λ:0.033 | Conf:0.70 | LR:9.59e-05
Ep 13 | B 60 | Src:10.92 | Psd:62.93 | PLs:31 | λ:0.033 | Conf:0.70 | LR:9.59e-05
Ep 13 | B 70 | Src:10.63 | Psd:55.93 | PLs:29 | λ:0.033 | Conf:0.70 | LR:9.59e-05
Ep 13 | B 80 | Src:8.10 | Psd:58.90 | PLs:31 | λ:0.033 | Conf:0.70 | LR:9.59e-05
Ep 13 | B 90 | Src:10.31 | Psd:58.24 | PLs:27 | λ:0.033 | Conf:0.70 | LR:9.59e-05
Ep 14 | B 0 | Src:10.97 | Psd:57.53 | PLs:29 | λ:0.035 | Conf:0.70 | LR:9.53e-05
Ep 14 | B 10 | Src:14.12 | Psd:55.23 | PLs:31 | λ:0.035 | Conf:0.70 | LR:9.53e-05
Ep 14 | B 20 | Src:13.46 | Psd:58.60 | PLs:31 | λ:0.035 | Conf:0.70 | LR:9.53e-05
Ep 14 | B 30 | Src:10.89 | Psd:64.15 | PLs:30 | λ:0.035 | Conf:0.70 | LR:9.53e-05
Ep 14 | B 40 | Src:8.29 | Psd:58.44 | PLs:31 | λ:0.035 | Conf:0.70 | LR:9.53e-05
Ep 14 | B 50 | Src:11.07 | Psd:22.80 | PLs:11 | λ:0.035 | Conf:0.70 | LR:9.53e-05
Ep 14 | B 60 | Src:13.67 | Psd:57.74 | PLs:29 | λ:0.035 | Conf:0.70 | LR:9.53e-05
Ep 14 | B 70 | Src:13.11 | Psd:64.10 | PLs:27 | λ:0.035 | Conf:0.70 | LR:9.53e-05
Ep 14 | B 80 | Src:12.69 | Psd:59.64 | PLs:30 | λ:0.035 | Conf:0.70 | LR:9.53e-05
Ep 14 | B 90 | Src:10.98 | Psd:62.31 | PLs:29 | λ:0.035 | Conf:0.70 | LR:9.53e-05
Ep 15 | B 0 | Src:13.01 | Psd:56.26 | PLs:31 | λ:0.038 | Conf:0.70 | LR:9.46e-05
Ep 15 | B 10 | Src:9.70 | Psd:65.85 | PLs:28 | λ:0.038 | Conf:0.70 | LR:9.46e-05
Ep 15 | B 20 | Src:9.87 | Psd:55.63 | PLs:30 | λ:0.038 | Conf:0.70 | LR:9.46e-05
Ep 15 | B 30 | Src:11.98 | Psd:62.89 | PLs:32 | λ:0.038 | Conf:0.70 | LR:9.46e-05
Ep 15 | B 40 | Src:10.77 | Psd:54.86 | PLs:26 | λ:0.038 | Conf:0.70 | LR:9.46e-05
Ep 15 | B 50 | Src:12.75 | Psd:54.04 | PLs:28 | λ:0.038 | Conf:0.70 | LR:9.46e-05
Ep 15 | B 60 | Src:10.90 | Psd:63.13 | PLs:26 | λ:0.038 | Conf:0.70 | LR:9.46e-05
Ep 15 | B 70 | Src:11.06 | Psd:56.63 | PLs:25 | λ:0.038 | Conf:0.70 | LR:9.46e-05
Ep 15 | B 80 | Src:10.93 | Psd:59.59 | PLs:29 | λ:0.038 | Conf:0.70 | LR:9.46e-05
Ep 15 | B 90 | Src:11.60 | Psd:60.31 | PLs:29 | λ:0.038 | Conf:0.70 | LR:9.46e-05
Ep 16 | B 0 | Src:13.89 | Psd:60.29 | PLs:30 | λ:0.040 | Conf:0.70 | LR:9.39e-05
