epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
100,8287.21,0.57438,0.48936,0.10389,0.7097,0.72966,0.7119,0.3261,0.62106,0.49215,0.12151,6.733e-05,6.733e-05,6.733e-05
101,8369.29,0.57242,0.46912,0.10833,0.73524,0.72462,0.71425,0.3289,0.61741,0.49263,0.12102,6.7e-05,6.7e-05,6.7e-05
102,8451.85,0.60253,0.48392,0.10942,0.69445,0.74109,0.71024,0.32126,0.62956,0.51228,0.12205,6.667e-05,6.667e-05,6.667e-05
103,8534.37,0.58598,0.49238,0.10574,0.72159,0.72697,0.7206,0.32304,0.62563,0.48321,0.12334,6.634e-05,6.634e-05,6.634e-05
104,8616.67,0.56009,0.46187,0.10177,0.70734,0.74176,0.71415,0.32506,0.62427,0.48605,0.1232,6.601e-05,6.601e-05,6.601e-05
105,8699.23,0.58279,0.45798,0.10605,0.73906,0.73705,0.72793,0.34229,0.59976,0.4846,0.11468,6.568e-05,6.568e-05,6.568e-05
106,8782.44,0.57712,0.47404,0.09981,0.71276,0.71015,0.70359,0.31965,0.62189,0.49627,0.12309,6.535e-05,6.535e-05,6.535e-05
107,8864.34,0.56422,0.4759,0.09785,0.701,0.72562,0.7104,0.32625,0.62049,0.48746,0.12229,6.502e-05,6.502e-05,6.502e-05
108,8946.39,0.56546,0.46404,0.10397,0.73443,0.73461,0.72888,0.33523,0.61499,0.48038,0.12116,6.469e-05,6.469e-05,6.469e-05
109,9028.74,0.57628,0.47108,0.10242,0.73335,0.72831,0.72126,0.33388,0.61428,0.47901,0.12045,6.436e-05,6.436e-05,6.436e-05
110,9111.64,0.55048,0.47272,0.09887,0.73703,0.73436,0.72063,0.33627,0.61252,0.4829,0.1192,6.403e-05,6.403e-05,6.403e-05
111,9194.13,0.58004,0.48795,0.10031,0.74609,0.73235,0.73462,0.34479,0.59991,0.48438,0.11567,6.37e-05,6.37e-05,6.37e-05
112,9277.43,0.57877,0.48774,0.10547,0.73043,0.74714,0.73296,0.33779,0.60695,0.48339,0.11784,6.337e-05,6.337e-05,6.337e-05
113,9359.63,0.54176,0.51025,0.09741,0.7208,0.74042,0.72196,0.32767,0.62797,0.49338,0.12437,6.304e-05,6.304e-05,6.304e-05
114,9441.96,0.56681,0.50738,0.10133,0.68911,0.74176,0.71386,0.33465,0.60598,0.5294,0.11908,6.271e-05,6.271e-05,6.271e-05
115,9524.4,0.55807,0.47029,0.09822,0.72248,0.7384,0.71916,0.33128,0.61901,0.48568,0.1218,6.238e-05,6.238e-05,6.238e-05
116,9606.82,0.56802,0.46378,0.09934,0.74309,0.73235,0.73111,0.3386,0.61544,0.47915,0.12211,6.205e-05,6.205e-05,6.205e-05
117,9689.7,0.58038,0.47135,0.09551,0.7237,0.73369,0.7177,0.32725,0.62281,0.4836,0.12326,6.172e-05,6.172e-05,6.172e-05
118,9772.47,0.58053,0.46533,0.09801,0.73366,0.73907,0.72443,0.33265,0.61779,0.49099,0.12345,6.139e-05,6.139e-05,6.139e-05
119,9855.14,0.57129,0.46946,0.09944,0.72832,0.73374,0.72737,0.33549,0.61326,0.48585,0.12269,6.106e-05,6.106e-05,6.106e-05
120,9937.54,0.56235,0.47029,0.1015,0.72676,0.73694,0.72557,0.33228,0.61654,0.48521,0.12316,6.073e-05,6.073e-05,6.073e-05
121,10019.9,0.55255,0.46423,0.10129,0.72491,0.74109,0.72682,0.33879,0.60496,0.49579,0.11807,6.04e-05,6.04e-05,6.04e-05
122,10102.2,0.55182,0.46443,0.1005,0.73178,0.72898,0.72362,0.33149,0.61745,0.50215,0.12214,6.007e-05,6.007e-05,6.007e-05
123,10185,0.56472,0.4787,0.09677,0.71618,0.73235,0.71379,0.32525,0.63135,0.49972,0.12784,5.974e-05,5.974e-05,5.974e-05
124,10267.5,0.52878,0.46888,0.09411,0.70839,0.73841,0.72116,0.33744,0.60248,0.50657,0.11873,5.941e-05,5.941e-05,5.941e-05
125,10350.4,0.55917,0.47972,0.10022,0.75009,0.71553,0.72221,0.33343,0.60574,0.49865,0.11871,5.908e-05,5.908e-05,5.908e-05
126,10432.5,0.54507,0.46167,0.09331,0.74098,0.71373,0.72311,0.33518,0.61879,0.48808,0.12147,5.875e-05,5.875e-05,5.875e-05
127,10514.8,0.56388,0.46538,0.11163,0.74024,0.71822,0.72148,0.32894,0.62619,0.48111,0.12598,5.842e-05,5.842e-05,5.842e-05
128,10596.9,0.56297,0.47509,0.10221,0.6789,0.72966,0.70516,0.31645,0.63584,0.51422,0.1288,5.809e-05,5.809e-05,5.809e-05
129,10679.3,0.58149,0.47367,0.10019,0.74057,0.72564,0.72658,0.34137,0.60116,0.49712,0.11638,5.776e-05,5.776e-05,5.776e-05
130,10761.4,0.56543,0.47403,0.10105,0.71529,0.72697,0.71855,0.32959,0.61746,0.48868,0.12372,5.743e-05,5.743e-05,5.743e-05
131,10844,0.52944,0.45733,0.09129,0.72555,0.73974,0.71855,0.32923,0.63012,0.50712,0.12474,5.71e-05,5.71e-05,5.71e-05
132,10926.8,0.55914,0.46251,0.10085,0.72388,0.73369,0.72355,0.33458,0.60994,0.49091,0.11846,5.677e-05,5.677e-05,5.677e-05
133,11009.4,0.55792,0.47321,0.10449,0.74557,0.73705,0.72939,0.33592,0.61517,0.48083,0.12225,5.644e-05,5.644e-05,5.644e-05
134,11091.8,0.54499,0.4583,0.09717,0.75448,0.72428,0.73604,0.34324,0.6072,0.48007,0.12031,5.611e-05,5.611e-05,5.611e-05
135,11174.3,0.58165,0.47201,0.11239,0.74822,0.72697,0.73463,0.33992,0.60791,0.47674,0.11854,5.578e-05,5.578e-05,5.578e-05
136,11257.2,0.58048,0.46508,0.10078,0.74765,0.72831,0.72772,0.33972,0.61275,0.47422,0.12023,5.545e-05,5.545e-05,5.545e-05
137,11339.3,0.55232,0.45782,0.09464,0.71972,0.72697,0.71978,0.32784,0.62459,0.4904,0.12289,5.512e-05,5.512e-05,5.512e-05
138,11421.5,0.54897,0.4517,0.09621,0.71915,0.73302,0.72606,0.33349,0.6248,0.4775,0.12452,5.479e-05,5.479e-05,5.479e-05
139,11503.7,0.55465,0.45057,0.09487,0.74611,0.72629,0.73538,0.33336,0.62892,0.47924,0.12574,5.446e-05,5.446e-05,5.446e-05
140,11586.8,0.54301,0.46829,0.09083,0.74844,0.73907,0.74071,0.33949,0.6176,0.48535,0.12117,5.413e-05,5.413e-05,5.413e-05
141,11669.4,0.54649,0.45501,0.09413,0.75783,0.72182,0.73385,0.33314,0.62376,0.47447,0.12414,5.38e-05,5.38e-05,5.38e-05
142,11752,0.54397,0.46735,0.09781,0.72551,0.74983,0.73337,0.33663,0.62927,0.49186,0.12314,5.347e-05,5.347e-05,5.347e-05
143,11834,0.55113,0.45646,0.09716,0.74319,0.75122,0.7416,0.34513,0.60871,0.4792,0.11732,5.314e-05,5.314e-05,5.314e-05
144,11916.9,0.53024,0.44483,0.09407,0.7853,0.72562,0.7439,0.34508,0.61364,0.47542,0.11754,5.281e-05,5.281e-05,5.281e-05
145,11999.2,0.53439,0.46075,0.09742,0.73858,0.72898,0.73587,0.33983,0.61939,0.46861,0.11941,5.248e-05,5.248e-05,5.248e-05
146,12081.3,0.54243,0.4563,0.08878,0.71687,0.731,0.72716,0.33338,0.62097,0.48271,0.12076,5.215e-05,5.215e-05,5.215e-05
147,12163.6,0.55669,0.46147,0.10533,0.75766,0.73773,0.74444,0.34406,0.61565,0.47205,0.12099,5.182e-05,5.182e-05,5.182e-05
148,12245.5,0.53186,0.46325,0.09144,0.7576,0.72831,0.73993,0.34047,0.61999,0.47889,0.12305,5.149e-05,5.149e-05,5.149e-05
