Ep 10 | B 40 | Src:12.12 | Psd:54.96 | PLs:22 | λ:0.050 | Conf:0.68 | LR:9.76e-05
Ep 10 | B 50 | Src:16.25 | Psd:57.09 | PLs:24 | λ:0.050 | Conf:0.68 | LR:9.76e-05
Ep 10 | B 60 | Src:14.82 | Psd:52.78 | PLs:20 | λ:0.050 | Conf:0.68 | LR:9.76e-05
Ep 10 | B 70 | Src:14.92 | Psd:62.71 | PLs:27 | λ:0.050 | Conf:0.68 | LR:9.76e-05
Ep 10 | B 80 | Src:14.74 | Psd:60.44 | PLs:26 | λ:0.050 | Conf:0.68 | LR:9.76e-05
Ep 10 | B 90 | Src:11.73 | Psd:51.44 | PLs:20 | λ:0.050 | Conf:0.68 | LR:9.76e-05
Ep 11 | B 0 | Src:10.65 | Psd:56.32 | PLs:26 | λ:0.055 | Conf:0.68 | LR:9.71e-05
Ep 11 | B 10 | Src:14.32 | Psd:56.53 | PLs:24 | λ:0.055 | Conf:0.68 | LR:9.71e-05
Ep 11 | B 20 | Src:15.54 | Psd:54.52 | PLs:23 | λ:0.055 | Conf:0.68 | LR:9.71e-05
Ep 11 | B 30 | Src:16.39 | Psd:63.39 | PLs:29 | λ:0.055 | Conf:0.68 | LR:9.71e-05
Ep 11 | B 40 | Src:16.61 | Psd:58.54 | PLs:28 | λ:0.055 | Conf:0.68 | LR:9.71e-05
Ep 11 | B 50 | Src:14.33 | Psd:54.62 | PLs:21 | λ:0.055 | Conf:0.68 | LR:9.71e-05
Ep 11 | B 60 | Src:13.55 | Psd:54.87 | PLs:22 | λ:0.055 | Conf:0.68 | LR:9.71e-05
Ep 11 | B 70 | Src:10.34 | Psd:51.64 | PLs:22 | λ:0.055 | Conf:0.68 | LR:9.71e-05
Ep 11 | B 80 | Src:10.96 | Psd:57.98 | PLs:24 | λ:0.055 | Conf:0.68 | LR:9.71e-05
Ep 11 | B 90 | Src:14.96 | Psd:50.21 | PLs:20 | λ:0.055 | Conf:0.68 | LR:9.71e-05
Ep 12 | B 0 | Src:13.52 | Psd:57.96 | PLs:25 | λ:0.060 | Conf:0.68 | LR:9.65e-05
Ep 12 | B 10 | Src:14.49 | Psd:62.37 | PLs:25 | λ:0.060 | Conf:0.68 | LR:9.65e-05
Ep 12 | B 20 | Src:13.53 | Psd:60.12 | PLs:27 | λ:0.060 | Conf:0.68 | LR:9.65e-05
Ep 12 | B 30 | Src:12.03 | Psd:53.89 | PLs:28 | λ:0.060 | Conf:0.68 | LR:9.65e-05
Ep 12 | B 40 | Src:15.28 | Psd:62.70 | PLs:29 | λ:0.060 | Conf:0.68 | LR:9.65e-05
Ep 12 | B 50 | Src:16.12 | Psd:57.74 | PLs:19 | λ:0.060 | Conf:0.68 | LR:9.65e-05
Ep 12 | B 60 | Src:11.65 | Psd:53.08 | PLs:24 | λ:0.060 | Conf:0.68 | LR:9.65e-05
Ep 12 | B 70 | Src:11.19 | Psd:57.77 | PLs:30 | λ:0.060 | Conf:0.68 | LR:9.65e-05
Ep 12 | B 80 | Src:12.55 | Psd:55.54 | PLs:21 | λ:0.060 | Conf:0.68 | LR:9.65e-05
Ep 12 | B 90 | Src:12.17 | Psd:57.79 | PLs:19 | λ:0.060 | Conf:0.68 | LR:9.65e-05
Ep 13 | B 0 | Src:14.05 | Psd:56.21 | PLs:20 | λ:0.065 | Conf:0.67 | LR:9.59e-05
Ep 13 | B 10 | Src:10.85 | Psd:56.30 | PLs:24 | λ:0.065 | Conf:0.67 | LR:9.59e-05
Ep 13 | B 20 | Src:17.62 | Psd:55.10 | PLs:27 | λ:0.065 | Conf:0.67 | LR:9.59e-05
Ep 13 | B 30 | Src:27.86 | Psd:57.02 | PLs:21 | λ:0.065 | Conf:0.67 | LR:9.59e-05
Ep 13 | B 40 | Src:11.07 | Psd:57.56 | PLs:25 | λ:0.065 | Conf:0.67 | LR:9.59e-05
Ep 13 | B 50 | Src:14.38 | Psd:53.70 | PLs:23 | λ:0.065 | Conf:0.67 | LR:9.59e-05
Ep 13 | B 60 | Src:12.73 | Psd:59.56 | PLs:28 | λ:0.065 | Conf:0.67 | LR:9.59e-05
Ep 13 | B 70 | Src:16.80 | Psd:44.25 | PLs:17 | λ:0.065 | Conf:0.67 | LR:9.59e-05
Ep 13 | B 80 | Src:16.11 | Psd:55.54 | PLs:23 | λ:0.065 | Conf:0.67 | LR:9.59e-05
Ep 13 | B 90 | Src:9.42 | Psd:47.89 | PLs:20 | λ:0.065 | Conf:0.67 | LR:9.59e-05
Ep 14 | B 0 | Src:10.68 | Psd:55.38 | PLs:24 | λ:0.070 | Conf:0.67 | LR:9.53e-05
Ep 14 | B 10 | Src:12.73 | Psd:60.68 | PLs:29 | λ:0.070 | Conf:0.67 | LR:9.53e-05
Ep 14 | B 20 | Src:16.78 | Psd:54.28 | PLs:25 | λ:0.070 | Conf:0.67 | LR:9.53e-05
Ep 14 | B 30 | Src:18.59 | Psd:55.39 | PLs:25 | λ:0.070 | Conf:0.67 | LR:9.53e-05
Ep 14 | B 40 | Src:11.29 | Psd:60.95 | PLs:31 | λ:0.070 | Conf:0.67 | LR:9.53e-05
Ep 14 | B 50 | Src:11.28 | Psd:19.10 | PLs:9 | λ:0.070 | Conf:0.67 | LR:9.53e-05
Ep 14 | B 60 | Src:16.89 | Psd:51.43 | PLs:27 | λ:0.070 | Conf:0.67 | LR:9.53e-05
Ep 14 | B 70 | Src:11.01 | Psd:63.98 | PLs:28 | λ:0.070 | Conf:0.67 | LR:9.53e-05
Ep 14 | B 80 | Src:11.22 | Psd:55.23 | PLs:26 | λ:0.070 | Conf:0.67 | LR:9.53e-05
Ep 14 | B 90 | Src:12.85 | Psd:60.82 | PLs:25 | λ:0.070 | Conf:0.67 | LR:9.53e-05
Ep 15 | B 0 | Src:14.13 | Psd:51.08 | PLs:25 | λ:0.075 | Conf:0.67 | LR:9.46e-05
Ep 15 | B 10 | Src:12.35 | Psd:60.41 | PLs:26 | λ:0.075 | Conf:0.67 | LR:9.46e-05
Ep 15 | B 20 | Src:16.00 | Psd:48.37 | PLs:22 | λ:0.075 | Conf:0.67 | LR:9.46e-05
Ep 15 | B 30 | Src:13.49 | Psd:54.14 | PLs:23 | λ:0.075 | Conf:0.67 | LR:9.46e-05
Ep 15 | B 40 | Src:13.39 | Psd:51.84 | PLs:23 | λ:0.075 | Conf:0.67 | LR:9.46e-05
Ep 15 | B 50 | Src:15.40 | Psd:48.50 | PLs:27 | λ:0.075 | Conf:0.67 | LR:9.46e-05
Ep 15 | B 60 | Src:15.83 | Psd:59.00 | PLs:27 | λ:0.075 | Conf:0.67 | LR:9.46e-05
Ep 15 | B 70 | Src:17.55 | Psd:52.68 | PLs:25 | λ:0.075 | Conf:0.67 | LR:9.46e-05
Ep 15 | B 80 | Src:13.92 | Psd:54.08 | PLs:28 | λ:0.075 | Conf:0.67 | LR:9.46e-05
Ep 15 | B 90 | Src:11.75 | Psd:53.53 | PLs:23 | λ:0.075 | Conf:0.67 | LR:9.46e-05
Ep 16 | B 0 | Src:15.82 | Psd:48.25 | PLs:21 | λ:0.080 | Conf:0.67 | LR:9.39e-05
Ep 16 | B 10 | Src:11.86 | Psd:54.75 | PLs:25 | λ:0.080 | Conf:0.67 | LR:9.39e-05
Ep 16 | B 20 | Src:10.66 | Psd:57.04 | PLs:29 | λ:0.080 | Conf:0.67 | LR:9.39e-05
Ep 16 | B 30 | Src:10.27 | Psd:64.73 | PLs:29 | λ:0.080 | Conf:0.67 | LR:9.39e-05
Ep 16 | B 40 | Src:14.62 | Psd:57.90 | PLs:28 | λ:0.080 | Conf:0.67 | LR:9.39e-05
Ep 16 | B 50 | Src:11.17 | Psd:55.17 | PLs:24 | λ:0.080 | Conf:0.67 | LR:9.39e-05
Ep 16 | B 60 | Src:15.82 | Psd:54.79 | PLs:22 | λ:0.080 | Conf:0.67 | LR:9.39e-05
Ep 16 | B 70 | Src:12.71 | Psd:49.14 | PLs:21 | λ:0.080 | Conf:0.67 | LR:9.39e-05
Ep 16 | B 80 | Src:14.72 | Psd:52.40 | PLs:25 | λ:0.080 | Conf:0.67 | LR:9.39e-05
Ep 16 | B 90 | Src:16.36 | Psd:55.66 | PLs:30 | λ:0.080 | Conf:0.67 | LR:9.39e-05
Ep 17 | B 0 | Src:11.30 | Psd:58.52 | PLs:29 | λ:0.085 | Conf:0.67 | LR:9.31e-05
Ep 17 | B 10 | Src:10.95 | Psd:55.77 | PLs:22 | λ:0.085 | Conf:0.67 | LR:9.31e-05
Ep 17 | B 20 | Src:13.26 | Psd:45.40 | PLs:16 | λ:0.085 | Conf:0.67 | LR:9.31e-05
Ep 17 | B 30 | Src:24.36 | Psd:49.46 | PLs:17 | λ:0.085 | Conf:0.67 | LR:9.31e-05
Ep 17 | B 40 | Src:16.76 | Psd:54.75 | PLs:25 | λ:0.085 | Conf:0.67 | LR:9.31e-05
Ep 17 | B 50 | Src:12.59 | Psd:49.63 | PLs:26 | λ:0.085 | Conf:0.67 | LR:9.31e-05
Ep 17 | B 60 | Src:20.53 | Psd:51.64 | PLs:25 | λ:0.085 | Conf:0.67 | LR:9.31e-05
Ep 17 | B 70 | Src:12.40 | Psd:52.47 | PLs:24 | λ:0.085 | Conf:0.67 | LR:9.31e-05
Ep 17 | B 80 | Src:10.31 | Psd:48.00 | PLs:27 | λ:0.085 | Conf:0.67 | LR:9.31e-05
Ep 17 | B 90 | Src:11.81 | Psd:54.91 | PLs:26 | λ:0.085 | Conf:0.67 | LR:9.31e-05
Ep 18 | B 0 | Src:9.66 | Psd:54.25 | PLs:21 | λ:0.090 | Conf:0.66 | LR:9.23e-05
Ep 18 | B 10 | Src:10.91 | Psd:51.76 | PLs:30 | λ:0.090 | Conf:0.66 | LR:9.23e-05
Ep 18 | B 20 | Src:14.94 | Psd:52.47 | PLs:24 | λ:0.090 | Conf:0.66 | LR:9.23e-05
Ep 18 | B 30 | Src:14.42 | Psd:45.05 | PLs:20 | λ:0.090 | Conf:0.66 | LR:9.23e-05
Ep 18 | B 40 | Src:14.78 | Psd:52.15 | PLs:25 | λ:0.090 | Conf:0.66 | LR:9.23e-05
Ep 18 | B 50 | Src:14.87 | Psd:53.89 | PLs:26 | λ:0.090 | Conf:0.66 | LR:9.23e-05
Ep 18 | B 60 | Src:14.18 | Psd:54.18 | PLs:30 | λ:0.090 | Conf:0.66 | LR:9.23e-05
Ep 18 | B 70 | Src:10.93 | Psd:51.42 | PLs:25 | λ:0.090 | Conf:0.66 | LR:9.23e-05
